feature,importance
is_rush_hour,0.3547908582717246
hour_cos,0.3101453601592964
weather,0.11114329974157089
season,0.09785115558137734
temp,0.07951238678290404
hour,0.03562773936125549
hour_sin,0.00557814487058192
temp_humidity,0.0017280945264617866
temp_windspeed,0.0009228701505805369
atemp,0.0008012615782025613
humidity,0.0005054888325578068
windspeed,0.0004118969908449194
month,0.00038856561905523736
day,0.00018148789504804396
weekday_cos,0.00011826315071150007
month_cos,0.00011063595573497472
day_sin,9.881861535697039e-05
month_sin,6.344163895862373e-05
day_cos,2.023027777636207e-05
holiday,0.0
weekday,0.0
weekday_sin,0.0
workingday,0.0
is_weekend,0.0
