,mse,rmse,mae,r2,training_time
Gradient Boosting,389.0640794400861,19.724707334713134,13.495133966927884,0.8735568438279341,1.3549091815948486
DeepMLP,405.5453796386719,20.13815689086914,13.666886329650879,0.8682005467744438,3.755918025970459
StandardMLP,408.0971374511719,20.201414108276367,13.75769329071045,0.8673712299666084,3.429323196411133
Random Forest,417.46881035007607,20.432053503015208,13.79351598173516,0.8643255011872921,4.30565333366394
ResidualMLP,439.1953125,20.956987380981445,14.45302963256836,0.857264544768518,4.071328163146973
SimpleMLP,694.451416015625,26.352445602416992,18.021272659301758,0.7743080669601343,2.543390989303589
Linear Regression,918.7924194335938,30.311588287353516,22.140474319458008,0.7013987895590682,0.0050754547119140625
Ridge Regression,918.818115234375,30.312013626098633,22.138568878173828,0.7013904059517282,0.003161907196044922
Lasso Regression,929.849609375,30.49343490600586,22.078330993652344,0.6978052616591577,0.003991842269897461
Support Vector Regression,2258.745046772263,47.52625639341124,32.127089487665195,0.2659233586587454,0.8057839870452881
